unique_id;plant_sp;fungal_sp;replicate;treatment;block;Height t0;Height t1;Dead/Sick
9;VAN;STR;9;1;1;1;1,6;
247;VAN;MEB;1;28;1;0,7;0,9;
173;VAN;MEV;5;19;1;0,7;3;
328;VAN;OMA;4;37;1;0,4;1,3;
410;VAN;JPK-87;8;46;1;1;1,3;
482;VAN;JPK-132;2;55;1;0,5;3;
641;VAN;MGK;5;73;1;1,1;2;
330;VAN;OMA;6;37;1;0,7;1,4;
642;VAN;MGK;6;73;2;0,5;6,1;
249;VAN;MEB;3;28;2;1,2;2,4;
488;VAN;JPK-132;8;55;2;0,6;4,4;
325;VAN;OMA;1;37;2;0,4;6;
5;VAN;STR;5;1;2;0,7;1,8;
91;VAN;RHE;1;10;2;0,6;0,7;
560;VAN;RER;2;64;2;0,3;2,3;
406;VAN;JPK-87;4;46;2;0,7;1,1;
174;VAN;MEV;6;19;2;0,7;2,1;
96;VAN;RHE;6;10;2;0,9;3,8;
407;VAN;JPK-87;5;46;2;0,4;0,7;
563;VAN;RER;5;64;3;0,8;2,9;
637;VAN;MGK;1;72;3;1;1,9;
94;VAN;RHE;4;10;3;0,7;1,8;
8;VAN;STR;8;1;3;0,5;4;
403;VAN;JPK-87;1;46;8;;;*
175;VAN;MEV;7;19;3;0,6;2;
411;VAN;JPK-87;9;46;3;0,6;1,2;
331;VAN;OMA;7;37;3;0,6;3,2;
645;VAN;MGK;9;73;3;0,7;1,3;
254;VAN;MEB;8;28;3;;;*
559;VAN;RER;1;64;3;0,6;1,7;
568;VAN;RER;10;64;4;0,6;2,7;
251;VAN;MEB;5;28;4;0,7;0,7;
484;VAN;JPK-132;4;55;4;0,4;3,5;
4;VAN;STR;4;1;4;0,7;1,1;
644;VAN;MGK;8;73;4;0,4;1,7;
177;VAN;MEV;9;19;4;0,6;2;
409;VAN;JPK-87;7;46;4;0,6;1;
327;VAN;OMA;3;37;4;0,5;2,3;
92;VAN;RHE;2;10;4;1,1;2,8;
178;VAN;MEV;10;19;4;0,6;1,5;
332;VAN;OMA;8;37;4;0,6;2,7;
489;VAN;JPK-132;9;55;4;1;3,2;
639;VAN;MGK;3;73;5;0,4;1,5;
100;VAN;RHE;10;10;5;0,8;2;
566;VAN;RER;8;64;5;0,8;2,4;
176;VAN;MEV;8;19;5;0,7;1,2;
329;VAN;OMA;5;37;5;0,7;3;
256;VAN;MEB;10;28;5;1,1;1,5;
412;VAN;JPK-87;10;46;5;0,7;0,6;
486;VAN;JPK-132;6;55;5;0,7;3,1;
1;VAN;STR;1;1;5;0,7;0,8;
404;VAN;JPK-87;2;46;5;0,5;0,6;
250;VAN;MEB;4;28;5;0,6;1,4;
